School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Soledad Unified School District,30.36,32.36,2,18.76,21.04,2.28,0
Sierra Sands Unified School District,47.84,50.68,2.84,32.46,36.07,3.61,0
South Pasadena Unified School District,84.4,83.92,-0.48,78.99,78.83,-0.16,0
Windsor Unified School District,44.95,47.54,2.59,31.23,34.88,3.65,0
Petaluma Joint Union High School District,62.02,62.39,0.37,44.76,43.9,-0.86,0
Fremont Union High School District,80.35,81.72,1.37,75.55,78.09,2.54,0
San Gabriel Unified School District,60.5,61.62,1.12,50.71,52.51,1.8,0
Merced Union High School District,45.23,47.23,2,18.59,17.32,-1.27,0
Rescue Union Elementary School District,73.92,74.14,0.22,65.95,65.32,-0.63,0
Roseville Joint Union High School District,72.31,73.94,1.63,48.59,47.87,-0.72,0
Santa Rita Union Elementary School District,37.38,39.41,2.03,21.64,21.94,0.3,0
Charter Oak Unified School District,51.49,54.71,3.22,43.36,45.72,2.36,0
Coalinga-Huron Unified School District,26.1,29.6,3.5,13.67,16.87,3.2,0
Atascadero Unified School District,51.51,51.75,0.24,39.6,40.3,0.7,0
North Monterey County Unified School District,30.76,34.37,3.61,19.38,20.48,1.1,0
Galt Joint Union Elementary School District,49.04,50.13,1.09,38.07,40.95,2.88,0
Centralia Elementary School District,63.95,63.64,-0.31,58.54,59.59,1.05,0
Oak Park Unified School District,80.92,80.64,-0.28,74.72,73.58,-1.14,0
Lafayette Elementary School District,84.64,84.47,-0.17,81.57,82.9,1.33,0
Enterprise Elementary School District,46.98,46.21,-0.77,34.45,36.65,2.2,0
Benicia Unified School District,53.09,57.69,4.6,52.21,54.06,1.85,0
Stanislaus Union Elementary School District,48.03,46.84,-1.19,38.13,37.58,-0.55,0
Wasco Union Elementary School District,31.97,35.06,3.09,18.28,21.85,3.57,0
Eureka Union School District,77.77,79.09,1.32,67.42,69.58,2.16,0
Cypress Elementary School District,68.67,69.06,0.39,66.32,66.96,0.64,0
Walnut Creek Elementary School District,73.46,72.41,-1.05,70.96,70.21,-0.75,0
Banning Unified School District,26.32,25.03,-1.29,14.78,15.02,0.24,0
Greenfield Union Elementary School District,27.22,28.13,0.91,19.34,19.13,-0.21,0
La Canada Unified School District,87.75,88.93,1.18,85.12,85.19,0.07,0
Imperial Unified School District,58.84,59.65,0.81,44,41.74,-2.26,0
Los Gatos Union Elementary School District,79.95,78.05,-1.9,77.48,76.52,-0.96,0
Lemon Grove School District,46.02,46.2,0.18,35.69,34.61,-1.08,0
Cambrian School District,66.99,66.49,-0.5,62.73,63.68,0.95,0
Burlingame Elementary School District,78.25,79.43,1.18,76.47,78.28,1.81,0
Lemoore Union Elementary School District,48.59,49.22,0.63,34.93,40.28,5.35,0
Center Joint Unified School District,45.27,48.63,3.36,31.33,33.46,2.13,0
Tehachapi Unified School District,47.5,46.63,-0.87,30.45,31.49,1.04,0
Eastside Union Elementary School District,24.73,27.23,2.5,13.65,15.32,1.67,0
Cutler-Orosi Joint Unified School District,38.75,41.59,2.84,33.85,35.69,1.84,0
Lowell Joint School District,62.03,61.64,-0.39,52.67,53.86,1.19,0
Lindsay Unified School District,40.22,46.66,6.44,23.94,28.95,5.01,0
Fruitvale Elementary School District,58.16,58.21,0.05,50.21,54.5,4.29,0
San Mateo Union High School District,71.45,70.55,-0.9,51.59,50.36,-1.23,0
George Ellery Hale Charter Academy,66.67,68.98,2.31,55.87,60.16,4.29,1
Tahoe-Truckee Unified School District,58.92,60.21,1.29,53.09,52.88,-0.21,0
Martinez Unified School District,52.79,54.28,1.49,42.17,41.45,-0.72,0
Amador County Unified School District,44.78,47.2,2.42,29.17,31.58,2.41,0
Lake Tahoe Unified School District,42.54,43.75,1.21,34.5,33.2,-1.3,0
Inspire Charter School,42.59,44.85,2.26,22.69,22.24,-0.45,1
Paul Revere Charter Middle,75.09,74.74,-0.35,63.08,63.12,0.04,1
Loomis Union Elementary School District,72.25,73.22,0.97,63.97,67.06,3.09,0
Thomas Starr King Middle School Film and Media Magnet,60.12,61.4,1.28,48.02,48.09,0.07,1
Arvin Union School District,31.99,32.65,0.66,22.68,21.48,-1.2,0
Beverly Hills Unified School District,76.88,74.61,-2.27,63.37,64.75,1.38,0
Valley Center-Pauma Unified School District,40.5,39.35,-1.15,22.76,23.96,1.2,0
El Monte Union High School District,56.05,60.12,4.07,30.42,33.94,3.52,0
