School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Sequoia Union High School District,62.54,69.81,7.27,47.7,52.34,4.64,0
Pacifica School District,59.94,59.84,-0.1,57.76,56.76,-1,0
Sonoma Valley Unified School District,41.28,42.21,0.93,27.95,26.8,-1.15,0
Standard Elementary School District,30.19,26.84,-3.35,15.99,15.95,-0.04,0
Goleta Union Elementary School District,61.92,65.23,3.31,58.89,59.63,0.74,0
Inspire Charter School - South,42.78,45.21,2.43,22.72,22.34,-0.38,1
Rincon Valley Union Elementary School District,61.17,60.24,-0.93,49.43,51.07,1.64,0
Mill Valley Elementary School District,84.99,83.81,-1.18,79.32,79.64,0.32,0
Duarte Unified School District,53.3,54.69,1.39,37.2,41.12,3.92,0
San Carlos Elementary School District,79.06,78.97,-0.09,76.83,75.27,-1.56,0
Richland Union Elementary School District,31.89,34.07,2.18,24.08,26.79,2.71,0
Fillmore Unified School District,27.38,25.44,-1.94,19.49,18.35,-1.14,0
Lamont Elementary School District,30.22,33.56,3.34,20.99,22.88,1.89,0
Empire Union Elementary School District,40.8,39.3,-1.5,31.55,30.69,-0.86,0
Washington Academic Middle,41.09,41.19,0.1,34.65,36.1,1.45,1
Menlo Park City Elementary School District,83.73,84.08,0.35,80.83,82.51,1.68,0
Liberty Union High School District,57.53,69.3,11.77,30.71,36.5,5.79,0
Weaver Union School District,38.76,42.59,3.83,34.23,37,2.77,0
McFarland Unified School District,31.25,32.1,0.85,19.19,24.32,5.13,0
Campbell Union High School District,69.57,67.2,-2.37,43.38,47.36,3.98,0
Bassett Unified School District,44.16,47.33,3.17,32.44,32.81,0.37,0
Redding Elementary School District,46.92,45.28,-1.64,39.41,38.97,-0.44,0
California Virtual Academy @ Los Angeles,39.56,36.4,-3.16,15.63,15.46,-0.17,1
Eureka City Schools School District,34.4,33.82,-0.58,24.67,25.05,0.38,0
Del Norte County Unified School District,34.85,35.65,0.8,24.74,25.48,0.74,0
South Whittier Elementary School District,36.11,36.86,0.75,24.4,24.96,0.56,0
Mendota Unified School District,36.55,41.5,4.95,24.15,29.34,5.19,0
Parlier Unified School District,23.16,22.3,-0.86,15.72,14.8,-0.92,0
Solana Beach Elementary School District,85.41,85.31,-0.1,81.03,82.32,1.29,0
Inspire Charter - Kern,36.45,38.89,2.44,16.16,16.13,-0.03,1
San Elijo Middle,79.94,77.6,-2.34,67.3,63.71,-3.59,1
Santa Maria Joint Union High School District,43.97,49.72,5.75,19.36,22.33,2.97,0
Albany City Unified School District,75.99,79.22,3.23,69.69,72.02,2.33,0
Santa Cruz City High School District,59.75,63.96,4.21,41.34,46.36,5.02,0
Southern Kern Unified School District,29.05,32.6,3.55,14.47,17.68,3.21,0
Konocti Unified School District,26.97,27.35,0.38,12.43,14.41,1.98,0
Wiseburn Unified School District,72.08,73.89,1.81,54.92,60.06,5.14,0
South Gate Middle,32.38,35.71,3.33,23.33,24.7,1.37,1
Robert A. Millikan Affiliated Charter & Performing Arts Magnet Middle,57.27,55.89,-1.38,44.17,43.99,-0.18,1
Keppel Union Elementary School District,32.15,32.85,0.7,24.58,22.97,-1.61,0
Eastlake Middle,73.2,73.07,-0.13,56.01,52.95,-3.06,1
El Segundo Unified School District,74.97,78.39,3.42,63.42,70.11,6.69,0
Fairfax Elementary School District,29.07,32.56,3.49,18.97,22.64,3.67,0
Rancho del Rey Middle,67.69,69.09,1.4,50.36,51.56,1.2,1
Ripon Unified School District,61.85,66.18,4.33,50.98,51.28,0.3,0
Corcoran Joint Unified School District,33.26,37.56,4.3,19.2,23.64,4.44,0
Newman-Crows Landing Unified School District,41.05,40.07,-0.98,24.63,24.77,0.14,0
Capistrano Connections Academy,56.62,59.78,3.16,25.86,25.85,-0.01,1
Gaspar De Portola Middle,54.67,60.44,5.77,50.79,51.94,1.15,1
Learning Latitudes Charter,39.86,44.55,4.69,22.81,22.44,-0.37,1
King City Union School District,32.42,31.45,-0.97,20.85,22.5,1.65,0
Mountain View Elementary School District,51.81,52.5,0.69,33.27,35.45,2.18,0
Rudecinda Sepulveda Dodson Middle,64,66.47,2.47,49.4,50.12,0.72,1
Ocean View School District,29.54,26.71,-2.83,17.55,17.46,-0.09,0
John Burroughs Middle,51.82,56.55,4.73,41.91,41.08,-0.83,1
Escondido Union High School District,56.87,57.58,0.71,23.1,20.82,-2.28,0
Thompson Middle,55.17,56.44,1.27,44.17,42.87,-1.3,1
Cabrillo Unified School District,49.73,48.08,-1.65,37.35,34.22,-3.13,0
Orinda Union Elementary School District,87.87,87.45,-0.42,84.74,84.79,0.05,0
Stephen M. White Middle,43.07,46.53,3.46,28.03,33.03,5,1
James Madison Middle,39.37,40.59,1.22,26.34,24.19,-2.15,1
Rim of the World Unified School District,37.76,41.47,3.71,24.37,23.41,-0.96,0
Ravenswood City Elementary School District,23.73,17.98,-5.75,14.55,11.92,-2.63,0
Walter Reed Middle,64.83,61.6,-3.23,46.42,50.95,4.53,1
Rosemead Elementary School District,60.35,62.25,1.9,55.85,57.57,1.72,0
Culver City Middle,66.42,67.64,1.22,51.1,51.1,0,1
William G. Jehue Middle,25.08,29.34,4.26,17.41,18.32,0.91,1
Livingston Union School District,34.33,37.55,3.22,23.59,26.6,3.01,0
Jefferson Elementary School District,58.03,58.27,0.24,45.23,45.6,0.37,0
Salida Union Elementary School District,46.96,47,0.04,33.38,35.41,2.03,0
Dixon Unified School District,40.6,40.2,-0.4,33.53,32.55,-0.98,0
Millbrae Elementary School District,67.02,63.37,-3.65,59.86,58.17,-1.69,0
Coronado Unified School District,76.03,78,1.97,67.02,67.6,0.58,0
Vaughn Next Century Learning Center,45.1,45.87,0.77,28.44,30.97,2.53,1
"Wilmington Middle Science, Technology, Engineering, Arts, Mathematics (STEAM) Magnet",31.55,33.1,1.55,26.67,30.63,3.96,1
Robert Frost Middle,65.02,69.53,4.51,55.97,61.56,5.59,1
Riverbank Unified School District,35.76,38.95,3.19,22.06,27.14,5.08,0
San Bruno Park Elementary School District,48.49,49.19,0.7,44.51,40.67,-3.84,0
Eleanor Murray Fallon,86.19,85.63,-0.56,83.69,81.95,-1.74,1
San Marino Unified School District,86.95,89.03,2.08,86.86,87.47,0.61,0
Richard Henry Dana Middle,28.7,32.79,4.09,18.97,22.98,4.01,1
Centinela Valley Union High School District,45.7,47.32,1.62,12.71,15.21,2.5,0
El Dorado Union High School District,67.91,68.81,0.9,52.81,55.03,2.22,0
Laguna Beach Unified School District,82.19,82.46,0.27,74.24,77.79,3.55,0
Bernardo Heights Middle,70.88,74.77,3.89,61.11,60.33,-0.78,1
South Junior High,22.4,23.98,1.58,13.92,14.15,0.23,1
Palo Verde Unified School District,29.08,34,4.92,17.1,20.18,3.08,0
Cucamonga Elementary School District,40.58,42.67,2.09,27.88,28.49,0.61,0
Chowchilla Elementary School District,30.06,30.45,0.39,22.42,24.73,2.31,0
Lennox Middle,26.88,37.1,10.22,19.89,27.29,7.4,1
Hillsdale Middle,66.21,63.34,-2.87,49.59,46.04,-3.55,1
Taft City School District,36.66,39.28,2.62,26.12,27.85,1.73,0
Oak Valley Middle,82.71,83.13,0.42,74,74.95,0.95,1
Mojave Unified School District,23.69,25.83,2.14,11.77,13.76,1.99,0
Clark Intermediate,68.18,74.71,6.53,46.93,53.23,6.3,1
Oroville City Elementary School District,29.23,32.65,3.42,21.25,25.91,4.66,0
Lexington Junior High,67.74,67.99,0.25,56.7,57.39,0.69,1
Griffith Middle,40.39,43.37,2.98,22.39,24.42,2.03,1
Ladera Ranch Middle,84.82,84.33,-0.49,75.02,77.98,2.96,1
Henry T. Gage Middle,27.59,30.72,3.13,15.91,16.63,0.72,1
Bonsall Unified School District,62.77,63.09,0.32,54.57,56.12,1.55,0
Kingsburg Elementary Charter School District,49.86,55.85,5.99,37.32,43.96,6.64,0
Charles Blackstock Junior High,28.75,29.29,0.54,16.74,12.64,-4.1,1
Mount Pleasant Elementary School District,35.5,37.65,2.15,24.77,26.4,1.63,0
Dorothy McElhinney Middle,65.65,68.74,3.09,54.51,56.44,1.93,1
Sunnymead Middle,20.41,22.79,2.38,13.11,13.44,0.33,1
Reef-Sunset Unified School District,23.92,26.02,2.1,14.53,15.43,0.9,0
Reyburn Intermediate,68.75,70.85,2.1,46.37,47.69,1.32,1
Shivela Middle,56.93,56.05,-0.88,49.39,50.56,1.17,1
Sutter Middle,71.99,72.44,0.45,60.08,58.36,-1.72,1
John Muir Middle,66.93,67.58,0.65,55.84,57.94,2.1,1
Hughes Middle,59.03,61.78,2.75,47.64,54.42,6.78,1
Mayfair High,56.09,57.8,1.71,32.89,29.52,-3.37,1
Chester W. Nimitz Middle,32.89,37.18,4.29,21.2,25.7,4.5,1
Ross Valley Elementary School District,78.24,77.71,-0.53,69.84,69.35,-0.49,0
Manhattan Beach Middle,82.88,85.94,3.06,72.05,79.37,7.32,1
Ysmael Villegas Middle,47.36,46.46,-0.9,38.34,36.54,-1.8,1
Turlock Junior High,45.2,46.63,1.43,28.75,32.88,4.13,1
San Lorenzo Valley Unified School District,58.48,61.72,3.24,43.46,47.25,3.79,0
Ernest Lawrence Middle,58.93,54.53,-4.4,45.81,43.89,-1.92,1
Folsom Middle,75.02,77.86,2.84,67.73,68.3,0.57,1
Exeter Unified School District,44.65,44.06,-0.59,32.37,30.43,-1.94,0
Carmel Unified School District,80.91,79.38,-1.53,67.89,69.59,1.7,0
Ocean Grove Charter,52.71,56.48,3.77,37.88,40.45,2.57,1
Canyon Middle,66.49,65.6,-0.89,55.88,56.96,1.08,1
Delhi Unified School District,36.33,36.89,0.56,23.77,26.33,2.56,0
Calaveras Unified School District,34.28,36.05,1.77,28.64,26.3,-2.34,0
William Mulholland Middle,41.7,43.33,1.63,29.39,31.68,2.29,1
Community Collaborative Virtual - Sage Oak Charter,38.4,47.67,9.27,19.2,33.99,14.79,1
Raymond A. Villa Fundamental Intermediate,28.48,29.73,1.25,17.33,15.22,-2.11,1
Gonzalo Felicitas Mendez Fundamental Intermediate,38.18,42.23,4.05,37.45,37.71,0.26,1
George K. Porter Middle,55.12,59.97,4.85,41.7,44.44,2.74,1
Toby Johnson Middle,64.95,65.4,0.45,56.85,60.63,3.78,1
Palm Desert Charter Middle,58.45,63.84,5.39,45.63,45.72,0.09,1
Oro Grande Elementary School District,33.43,37.44,4.01,17.34,21.94,4.6,0
Martin Luther King Jr. Middle,52.79,48.31,-4.48,40.82,41.13,0.31,1
Tulare Joint Union High School District,54.09,53.31,-0.78,26.75,23.83,-2.92,0
Escalon Unified School District,45.07,48.23,3.16,32.66,35.97,3.31,0
Doty Middle,51.02,55.28,4.26,39.48,38.5,-0.98,1
Marco Forster Middle,59.64,54.17,-5.47,44.93,41.94,-2.99,1
Piedmont City Unified School District,87.37,87.23,-0.14,84.55,86.57,2.02,0
Gerald P. Carr Intermediate,17.88,24.48,6.6,13.53,17.52,3.99,1
Ramona Middle,68.79,68.62,-0.17,61.37,60.83,-0.54,1
Castaic Union School District,60.33,61.15,0.82,44.36,46.17,1.81,0
Woodland Park Middle,58.22,62.87,4.65,42.8,44.49,1.69,1
Mountain View Middle,31.57,29.9,-1.67,18.04,18.4,0.36,1
Corning Union Elementary School District,28.09,31.88,3.79,23.49,26.42,2.93,0
Cupertino Middle,83.42,80.73,-2.69,82.36,81.61,-0.75,1
Bella Vista Middle,60.62,63.49,2.87,54.22,52.42,-1.8,1
Fowler Unified School District,50.5,50.26,-0.24,33.93,37.28,3.35,0
Sycamore Junior High,18.92,18.52,-0.4,11.73,10.06,-1.67,1
Cope Middle,59.97,58.51,-1.46,43.89,46.88,2.99,1
Richard E. Byrd Middle,28.48,32.98,4.5,19.69,22.27,2.58,1
Etiwanda Intermediate,67.04,63.92,-3.12,56.04,55.92,-0.12,1
Desert Ridge Academy,37.17,39.55,2.38,26.35,25.42,-0.93,1
Ethan A Chase Middle,38.24,35.63,-2.61,21.24,22.98,1.74,1
Dixie Elementary School District,75.98,75.57,-0.41,68.44,66.77,-1.67,0
Riverside Preparatory,33.96,38.03,4.07,17.7,22.16,4.46,1
Alta Sierra Intermediate,78.92,80.2,1.28,60.01,62.22,2.21,1
Red Bluff Union Elementary School District,38.97,39.46,0.49,32.86,35.32,2.46,0
Acalanes Union High School District,82.01,88.99,6.98,68.73,71.9,3.17,0
Saratoga Union Elementary School District,89.64,86.91,-2.73,91.09,88.57,-2.52,0
Sherman Oaks Center for Enriched Studies,72.34,64.39,-7.95,53.2,47.61,-5.59,1
Lakeside Middle,38.44,39.03,0.59,18.67,20.31,1.64,1
Mesa Verde Middle,76.47,79.17,2.7,69.04,71.65,2.61,1
Farmersville Unified School District,23.07,26.72,3.65,12.44,15.46,3.02,0
Dos Palos Oro Loma Joint Unified School District,24.05,24.71,0.66,12.43,13.89,1.46,0
Itliong-Vera Cruz,56.2,46.14,-10.06,45.21,45.21,0,1
Day Creek Intermediate,81.33,79.72,-1.61,77.79,75.97,-1.82,1
Vista Heights Middle,39.88,38.13,-1.75,28.33,29.86,1.53,1
Auburn Union Elementary School District,42.19,42.71,0.52,31.26,36.73,5.47,0
Arroyo Seco Junior High,69.55,72.47,2.92,55.12,54.75,-0.37,1
Inspire Charter School - North,39.85,42.1,2.25,21.22,20.08,-1.14,1
Alexander Fleming Middle,45.29,45.25,-0.04,33.74,34.87,1.13,1
Meadowbrook Middle,67.24,68.73,1.49,59.5,58.69,-0.81,1
Griffiths Middle,54.3,53.39,-0.91,42.6,42.9,0.3,1
Sitting Bull Academy,53.89,54.24,0.35,40.63,41.67,1.04,1
Oliver Wendell Holmes Middle,52.63,55.39,2.76,39.78,45.55,5.77,1
Ethel Dwyer Middle,70.81,71.47,0.66,64.4,63.51,-0.89,1
Winton School District,47.24,51.91,4.67,35.4,38.33,2.93,0
Thornton Junior High,77.29,77.19,-0.1,78.09,75.06,-3.03,1
Rancho Viejo Middle,33.18,24.8,-8.38,16.44,14.34,-2.1,1
Gale Ranch Middle,82.46,84.36,1.9,77.88,79.62,1.74,1
James Workman Middle,45.29,48.49,3.2,29.21,31.88,2.67,1
Black Mountain Middle,72.34,71.05,-1.29,64.81,67.52,2.71,1
Moraga Elementary School District,84.95,85.77,0.82,78.82,82.25,3.43,0
Savanna Elementary School District,48.12,50.4,2.28,42.82,45.53,2.71,0
Parras (Nick G.) Middle,76.38,77.93,1.55,71.98,75.68,3.7,1
Linden Unified School District,41.86,39.68,-2.18,31.87,31.89,0.02,0
Chaparral Middle,79.67,77.12,-2.55,76.78,77.72,0.94,1
Bear Valley Unified School District,44.12,46.66,2.54,29.07,30.6,1.53,0
Templeton Unified School District,62.99,62.83,-0.16,48.56,47.02,-1.54,0
Scotts Valley Unified School District,74.24,74.56,0.32,66.88,63.34,-3.54,0
Dr. Augustine Ramirez Intermediate,61.05,65.18,4.13,51.6,56.92,5.32,1
E. O. Green Junior High,25.61,28.09,2.48,15.1,14.11,-0.99,1
Raymond J. Fisher Middle,80.35,74.67,-5.68,79.09,75.79,-3.3,1
Stauffer Middle,50.59,48.46,-2.13,32.32,36.03,3.71,1
Harden Middle,29.28,33.58,4.3,14.88,18.79,3.91,1
Wayne Ruble Middle,46.26,49.14,2.88,29.73,31.17,1.44,1
River Heights Intermediate,61.89,61.38,-0.51,40.95,43.8,2.85,1
Ojai Unified School District,45.35,43.66,-1.69,32.39,32.68,0.29,0
Soquel Union Elementary School District,61.63,62.86,1.23,48.8,49.14,0.34,0
Woodrow Wilson Middle,60.28,59.52,-0.76,47.53,47.15,-0.38,1
Granite Ridge Intermediate,80.14,84.85,4.71,67.59,69.87,2.28,1
Patrick Henry Middle,43.4,45.47,2.07,27.68,28.97,1.29,1
Suzanne Middle,72.71,75.45,2.74,65.8,68.65,2.85,1
Washington Middle,39.8,42.56,2.76,25.17,27.35,2.18,1
Washington Unified School District,37.47,36.86,-0.61,22.01,26.23,4.22,0
Franklin Classical Middle,37.36,37.37,0.01,30.83,33.8,2.97,1
Isbell Middle,25.89,25.78,-0.11,19.22,18.31,-0.91,1
Heritage Intermediate,66.88,66.17,-0.71,49.96,47.58,-2.38,1
Orchard Hills,84.52,83.65,-0.87,77.68,77.98,0.3,1
Fontana Middle,30.65,31.5,0.85,18.73,18.17,-0.56,1
Hilmar Unified School District,34.9,42.17,7.27,19.16,25.68,6.52,0
Gonzales Unified School District,27.78,28.77,0.99,14.95,16.74,1.79,0
Rosemont Middle,71.07,75.76,4.69,67.68,68.68,1,1
Harvest Park Middle,82.39,79.82,-2.57,81.11,78.14,-2.97,1
Cesar E. Chavez Middle,52.29,44.68,-7.61,27.24,25.56,-1.68,1
Pioneer Middle,73.64,70.12,-3.52,67.01,65.89,-1.12,1
Robert E. Peary Middle,27.47,33.36,5.89,19.28,21.2,1.92,1
Newhart Middle,69.47,73.47,4,66.06,66.47,0.41,1
Jurupa Middle,42.9,39.45,-3.45,26.68,24.81,-1.87,1
Rialto Middle,25.85,34.47,8.62,12.26,13.11,0.85,1
Palms Middle,58.65,63.69,5.04,47.02,48.96,1.94,1
Palm Middle,30.35,30.78,0.43,24.98,26.1,1.12,1
Petaluma City Elementary School District,54.96,54.19,-0.77,50.04,51,0.96,0
Valley View Middle,51.83,48.12,-3.71,44.56,43.3,-1.26,1
John M. Horner Junior High,80.68,80.79,0.11,80.41,80.42,0.01,1
M. H. Stanley Middle,85.19,83.39,-1.8,81.31,80.62,-0.69,1
Thomas A. Edison Middle,23.54,24.67,1.13,23.15,22.28,-0.87,1
iLEAD Hybrid,46.84,48.01,1.17,29.29,26.29,-3,1
John F. Kennedy Middle,89,88.12,-0.88,89.89,90.14,0.25,1
Live Oak Elementary School District,56.43,53.56,-2.87,43.68,44.93,1.25,0
San Gorgonio Middle,46.09,49.54,3.45,26.71,29.92,3.21,1
La Paz Middle,32.32,33.33,1.01,24.7,22.92,-1.78,1
Stanford Middle,71.59,66.78,-4.81,59.83,59.09,-0.74,1
Bell Mountain Middle,58.83,61.99,3.16,49.01,47.73,-1.28,1
Rio Norte Junior High,82.99,81.96,-1.03,64.62,63.29,-1.33,1
James B. Davidson Middle,44.35,43.89,-0.46,31.72,32.88,1.16,1
Douglas MacArthur Fundamental Intermediate,44.9,44.56,-0.34,34.78,37,2.22,1
R.J. Frank Academy of Marine Science & Engineering,28.9,32.81,3.91,13.03,14.88,1.85,1
Sutter Middle,65.99,69.2,3.21,56.82,54.73,-2.09,1
Nuview Union School District,46.28,44.82,-1.46,30.83,30.94,0.11,0
Pleasanton Middle,79.7,75.38,-4.32,74.36,70.43,-3.93,1
Sunnyvale Middle,68.63,66.18,-2.45,64.58,62.24,-2.34,1
Sun Valley Magnet,29.61,31.45,1.84,22.33,23.45,1.12,1
Foshay Learning Center,32.68,35.61,2.93,16.53,23.26,6.73,1
Joaquin Miller Middle,91.75,93.34,1.59,93.24,94.4,1.16,1
Willow Glen Middle,60.37,55.61,-4.76,42.22,40.49,-1.73,1
Sharon Christa McAuliffe Middle,81.41,81.21,-0.2,70.75,70.83,0.08,1
Beardsley Elementary School District,29.39,34.13,4.74,19.66,18.98,-0.68,0
El Rancho Charter,72.84,71.27,-1.57,65.11,66.35,1.24,1
Oak Middle,84.18,87.48,3.3,71.45,71.01,-0.44,1
Cesar Chavez Middle,33.53,33.56,0.03,24.34,25.98,1.64,1
T. R. Smedberg Middle,48.03,47.87,-0.16,33.82,34.19,0.37,1
La Mesa Junior High,54.51,54.95,0.44,47.48,43.48,-4,1
Olive Vista Middle,35.32,38.29,2.97,15.68,22.01,6.33,1
Granada Hills Charter High,75,76.5,1.5,54.66,55.08,0.42,1
Sequoia Middle,36.38,39.54,3.16,18.81,17.38,-1.43,1
Beattie Middle,51,50.13,-0.87,39.69,37.86,-1.83,1
McFadden Intermediate,23.31,20.57,-2.74,24.64,22.83,-1.81,1
Thomas S. Hart Middle,84.12,82.19,-1.93,76.69,75.94,-0.75,1
Jeffrey Trail Middle,83.72,86.84,3.12,80.69,81.59,0.9,1
Menifee Valley Middle,55.95,55.36,-0.59,36.57,42.7,6.13,1
Los Angeles Academy Middle,23.1,25.09,1.99,10.84,12.01,1.17,1
Valiant Academy of Southern California,33.93,44.32,10.39,17.12,24.7,7.58,1
Bellflower High,52,51.13,-0.87,22.75,27.37,4.62,1
Twin Peaks Middle,66.7,62.84,-3.86,54.59,59.05,4.46,1
Bret Harte Middle,79.56,78.18,-1.38,80.3,76.4,-3.9,1
Temecula Middle,61.2,67.22,6.02,51.71,52.64,0.93,1
Rancho Santa Margarita Intermediate,74.37,72.9,-1.47,65.07,63.75,-1.32,1
East Whittier Middle,60.15,58.79,-1.36,44.32,48.87,4.55,1
Badger Springs Middle,19.31,26.99,7.68,12.63,13.43,0.8,1
John Glenn Middle School of International Studies,53.48,55.2,1.72,41.36,43.41,2.05,1
Francisco Sepulveda Middle,20.98,22.78,1.8,14.14,15.61,1.47,1
Tamalpais Union High School District,71.69,71.78,0.09,55.69,57.91,2.22,0
Firebaugh-Las Deltas Unified School District,45.77,52,6.23,27.41,33.3,5.89,0
Los Alisos Middle,44.03,45.84,1.81,32.76,34.93,2.17,1
Frisbie Middle,27.23,23.84,-3.39,8.81,9.88,1.07,1
Erle Stanley Gardner Middle,69.98,73.06,3.08,61.21,63.13,1.92,1
Grass Valley Elementary School District,48.72,47.85,-0.87,40.33,37.87,-2.46,0
Eleanor J. Toll Middle,55.65,58.58,2.93,50.69,49.13,-1.56,1
Sussman Middle,37.63,42.73,5.1,27.32,32.31,4.99,1
South Pasadena Middle,84.39,83.03,-1.36,77.92,78.11,0.19,1
Orland Joint Unified School District,33.24,36.06,2.82,14.35,18.49,4.14,0
Earlimart Elementary School District,30.59,29.41,-1.18,16.88,17.65,0.77,0
Robla Elementary School District,35.07,37.53,2.46,27.61,29,1.39,0
El Sausal Middle,34.6,33.69,-0.91,22.17,26.47,4.3,1
Ralston Intermediate,82.03,84.82,2.79,76.19,80.02,3.83,1
William B. Bristow Middle,59.93,60.53,0.6,44.63,43.54,-1.09,1
Harry S. Truman Middle,23.43,29.13,5.7,12.9,15.7,2.8,1
Pinacate Middle,23.29,26.84,3.55,11.07,13.24,2.17,1
Bonita Vista Middle,56.02,57.77,1.75,39.08,38.6,-0.48,1
Virgil Middle,40.59,38.83,-1.76,32.76,35.22,2.46,1
Terra Cotta Middle,32.85,33.75,0.9,21.07,24.62,3.55,1
Corona del Mar High,72.51,69.41,-3.1,60.41,62.3,1.89,1
California Virtual Academy @ San Diego,40.22,40.91,0.69,16.39,19.91,3.52,1
San Marcos Middle,52.15,52.3,0.15,31.47,31.19,-0.28,1
Granada Middle,66.16,63.8,-2.36,50.58,53.42,2.84,1
Gateway Unified School District,36.42,33.78,-2.64,32.98,30.38,-2.6,0
Jane Lathrop Stanford Middle,88.38,83.95,-4.43,87.12,84.64,-2.48,1
Horace Ensign Intermediate,66.18,68,1.82,58.84,58.4,-0.44,1
The O'Farrell Charter,48.52,54.18,5.66,41.2,43.06,1.86,1
